name,dcode,address,tel,new_pat,old_pat,Latitude,Longitude
ศูนย์บริการสาธารณสุข 16 ลุมพินี,"1007",161/82 ซอยปลูกจิต ถนนพระราม 4 แขวงลุมพินี เขตปทุมวัน กรุงเทพฯ10330,02-2252-776,"7447","13414",13.72743211,100.55050450
ศูนย์บริการสาธารณสุข 21 วัดธาตุทอง,"1039",214 ถนนสุขุมวิท (ภายในวัดธาตุทอง)แขวงพระโขนงเหรือ เขตวัฒนา กรุงเทพฯ 10110,02-3916082,"13876","22947",13.72007727,100.58562560
ศูนย์บริการสาธารณสุข 41 คลองเตย,"1033",139 ถนนอาจณรงค์ แขวงคลองเตย เขตคลองเตย กรุงเทพฯ 10110,02-249-1385,"9488","29031",13.71477445,100.56992800
ศูนย์บริการสาธารณสุข 32 มาริษ  ตินตมุสิก,"1009",91 ซอยวัฒนาสมบัติ ถนนสุขุมวิท 64/1 แขวงบางจาก เขตพระโขนง กรุงเทพฯ 10260,02331-9114,"4638","7515",13.68460867,100.60574680
ศูนย์บริการสาธารณสุข 34 โพธิ์ศรี,"1009",151 ซอยสายทิพย์ ถนนสุขุมวิท 56 แขวงบางจาก เขตพระโขนง กรุงเทพฯ10250,02-331-9438,"6090","9157",13.69619161,100.59794960
ศูนย์บริการสาธารณสุข 37 ประสงค์- สุดสาคร  ตู้จินดา,"1034",2044 ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กรุงเทพฯ 10250,02-321-8704,"4148","7919",13.73581291,100.63764600
ศูนย์บริการสาธารณสุข 57 บุญเรือง  ล้ำเลิศ,"1032",5 หมู่ 5 ถนนเฉลิมพระเกียรติ ร.9 ถนนสุขุมวิท 103 แขวงหนองบอน เขตประเวศ กรุงเทพฯ,02-396-1866,"8795","17315",13.67672584,100.66258230
ศูนย์บริการสาธารณสุข 61 สังวาลย์  ทัสนารมย์,"1042",19/5 หมู่ 3 ซอยโรงเรียนสายไหม ถนนสายไหม แขวงสายไหม เขตสายไหม กรุงเทพฯ 10220,02-536-0162,"10608","20954",13.92858417,100.65934390
ศูนย์บริการสาธารณสุข 53 ทุ่งสองห้อง,"1041",หมู่ 2 หมู่บ้านการเคหะชุมชนทุ่งสองห้อง ถนนวิภาวดีรังสิต แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพฯ 10210,02-575-2650-2,"7111","14383",13.90264653,100.58019720
ศูนย์บริการสาธารณสุข 3 บางซื่อ,"1029",58ค ถนนเตชะวาณิช แขวงบางซื่อ เขตบางซื่อ กรุงเทพฯ10800,02-587-0618,"7973","13273",13.80222069,100.53388580
ศูนย์บริการสาธารณสุข 51 วัดไผ่ตัน,"1014",12/10 ซอยพหลโยธิน แขวงสามเสนใน เขตพญาไท กรุงเทพฯ 10400,02-270-1985,"3959","4876",13.79539838,100.54839830
ศูนย์บริการสาธารณสุข 11 ประดิพัทธ์,"1014",51/13 ซอยประดิพัทธ์7 ถนนประดิพัทธ์ แขวงสามเสนใน เขตพญาไท กรุงเทพฯ 10400,02-2271-1122,"5378","10298",13.79242805,100.53956810
ศูนย์บริการสาธารณสุข 4 ดินแดง,"1026",4395 ถนนราชประชาสงเคราะห์ แขวงดินแดง เขตดินแดง กรุงเทพฯ 10400,02248-4955,"13594","20189",13.76975899,100.55801990
ศูนย์บริการสาธารณสุข 15 ลาดพร้าว,"1017",179/1 ซอยลาดพร้าว 41 (ซอยภาวนา) ถนนลาดพร้าว แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพฯ 10310,02-541-8380,"13351","28496",13.80253027,100.58402050
ศูนย์บริการสาธารณสุข 1 สะพานมอญ,"1001",3-5 ถนนเจริญกรุง แขวงวังบูรพาภิรมย์ พระนคร กรุงเทพฯ 10200,02-222-7874ต่อ 22,"5307","4610",13.74744895,100.49661610
ศูนย์บริการสาธารณสุข 12 จันทร์เที่ยง   เนตรวิเศษ,"1031",860/37 ซอยประดู่40 ถนนเจริญกรุง 107 แขวงบางโคล่ เขตบางคอแหลม กรุงเทพฯ 10120,02-291-7637-8,"5523","11809",13.69177129,100.50745900
ศูนย์บริการสาธารณสุข 6 สโมสรวัฒนธรรมหญิง,"1002",426 ถนนพิษณุโลก (ซอยพิษณุโลก1) แขวงสี่แยกมหานาค เขตดุสิต กรุงเทพฯ10300,02-282-0048,"4644","10842",13.76018437,100.51692490
ศูนย์บริการสาธารณสุข 30 วัดเจ้าอาม,"1020",164/79 ซอยกิตติชัย ถนนบางขุนนนท์ แขวงบางขุนนนท์ เขตบางกอกน้อย กรุงเทพฯ10700,02423-0234,"7787","11205",13.77583951,100.46611460
ศูนย์บริการสาธารณสุข 42 ถนอม  ทองสิมา,"1021",หลังเขตบางขุนเทียนหมู่ 6 ถนนพระราม 2 แขวงแสมดำ เขตบางขุนเทียน กรุงเทพฯ 10150,02-415-2052,"14903","22238",13.66144860,100.43517290
ศูนย์บริการสาธารณสุข 10 สุขุมวิท,"1033",722 สุขุมวิท 30 ถนนสุขุมวิท แขวงคลองตัน เขตคลองเตย กรุงเทพฯ 10110,"02-258-4892,0259-253","3297","5123",13.72790629,100.57300750
ศูนย์บริการสาธารณสุข 63 สมาคมแต้จิ๋วแห่งประเทศไทย,"1028",1/2 ซอยจันทน์24(ซอยเย็นจิตร์)ถนนจันทน์ แขวงวัดทุ่งดอน เขตสาทร กรุงเทพฯ10120,02-675-9945-6,"8811","14146",13.71260072,100.52361920
ศูนย์บริการสาธารณสุข 43 มีนบุรี,"1010",39 หมู่1 ถนนสีหบุรานุกิจ แขวงมีนบุรี เขตมีนบุรี กรุงเทพฯ 10510,02-5407154,"10928","24044",13.81323307,100.73050360
ศูนย์บริการสาธารณสุข 48 นาควัชระอุทิศ,"1023",40 หมู่1 ถนนเลียบคลองภาษีเจริญฝั่งเหนือ แขวงหนองแขม เขตหนองแขม กรุงเทพฯ 10162,02-421-2147-9,"13747","29626",13.68999795,100.37031070
ศูนย์บริการสาธารณสุข 65 รักษาศุข บางบอน,"1050",140/2หมู่3 ซอยเอกชัย121 ถนนเอกชัย แขวงบางบอน เขตบางบอน กรุงเทพฯ10150,02-453-0526,"9222","19231",13.64276858,100.37845520
ศูนย์บริการสาธารณสุข 45 ร่มเกล้า ลาดกระบัง,"1011",เคหะชุมชนร่มเกล้า แขวงคลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพฯ 10520,02-543-0923,"9980","17465",13.76130245,100.72827390
ศูนย์บริการสาธารณสุข44 ลำผักชีหนองจอก,"1003",96/5 หมู่9 ถนนสุวินทวงศ์ แขวงลำผักชี เขตหนองจอก กรุงเทพฯ 10530,02-988-1633-6,"5865","10381",13.80655646,100.84703800
ศูนย์บริการสาธารณสุข66 ตำหนักพระแม่กวนอิม โชคชัย 4,"1038",4/98 หมู่10ถนนโชคชัย 4 ซอย39 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ10230,02-539-4828,"53310","12794",13.81051172,100.59387730
ศูนย์บริการสาธารณสุข64 เขตคลองสามวา,"1046",1 หมู่ 10 ถนนเลียบคลองสอง แขวงบางชัน เขตคลองสามวา กรุงเทพฯ 10510,02-548-0495,"7884","20463",13.85993952,100.70526550
ศูนย์บริการสาธารณสุข 67 ทวีวัฒนา,"1048",3 ถนนอุทยาน แขวงทวีวัฒนา เขตทวีวัฒนา กรุงเทพฯ10170,02-441-680-3,"5093","11833",13.77138083,100.35724620
ศูนย์บริการสาธารณสุข 68 สะพานสูง,"1044",104 หมู่ 11 ซ.รามคำแหง 118 ถ.รามคำแหง 118 แขวงสะพานสูง เขตสะพานสูง กทม. 10240,02-226-5897,"6675","10891",13.77039588,100.68493420
